"","name","arms","campain","triplicat","plate_number","orientation","open_close","site_names","island","comb","orientation_type"
"103","RODARMS6_04U","RODARMS2C","RODARMS","RODARMS2","4","T","c","Ile_aux_Fous","Rodrigues","4Tc","T_c"
"104","RODARMS6_05D","RODARMS2C","RODARMS","RODARMS2","5","B","c","Ile_aux_Fous","Rodrigues","5Bc","B_c"
"105","RODARMS6_05U","RODARMS2C","RODARMS","RODARMS2","5","T","o","Ile_aux_Fous","Rodrigues","5To","T_o"
"106","RODARMS6_06D","RODARMS2C","RODARMS","RODARMS2","6","B","o","Ile_aux_Fous","Rodrigues","6Bo","B_o"
"107","RODARMS6_06U","RODARMS2C","RODARMS","RODARMS2","6","T","c","Ile_aux_Fous","Rodrigues","6Tc","T_c"
"108","RODARMS6_07D","RODARMS2C","RODARMS","RODARMS2","7","B","c","Ile_aux_Fous","Rodrigues","7Bc","B_c"
"109","RODARMS6_07U","RODARMS2C","RODARMS","RODARMS2","7","T","o","Ile_aux_Fous","Rodrigues","7To","T_o"
"110","RODARMS6_08D","RODARMS2C","RODARMS","RODARMS2","8","B","o","Ile_aux_Fous","Rodrigues","8Bo","B_o"
"111","RODARMS6_08U","RODARMS2C","RODARMS","RODARMS2","8","T","c","Ile_aux_Fous","Rodrigues","8Tc","T_c"
"112","RODARMS6_09D","RODARMS2C","RODARMS","RODARMS2","9","B","c","Ile_aux_Fous","Rodrigues","9Bc","B_c"
"113","RODARMS6_09U","RODARMS2C","RODARMS","RODARMS2","9","T","o","Ile_aux_Fous","Rodrigues","9To","T_o"
"114","RODARMS6_10D","RODARMS2C","RODARMS","RODARMS2","10","B","o","Ile_aux_Fous","Rodrigues","10Bo","B_o"
"118","RODARMS7_02U","RODARMS3A","RODARMS","RODARMS3","2","T","c","Grand_Pate","Rodrigues","2Tc","T_c"
"119","RODARMS7_03D","RODARMS3A","RODARMS","RODARMS3","3","B","c","Grand_Pate","Rodrigues","3Bc","B_c"
"120","RODARMS7_03U","RODARMS3A","RODARMS","RODARMS3","3","T","o","Grand_Pate","Rodrigues","3To","T_o"
"121","RODARMS7_04D","RODARMS3A","RODARMS","RODARMS3","4","B","o","Grand_Pate","Rodrigues","4Bo","B_o"
"122","RODARMS7_04U","RODARMS3A","RODARMS","RODARMS3","4","T","c","Grand_Pate","Rodrigues","4Tc","T_c"
"123","RODARMS7_05D","RODARMS3A","RODARMS","RODARMS3","5","B","c","Grand_Pate","Rodrigues","5Bc","B_c"
"124","RODARMS7_05U","RODARMS3A","RODARMS","RODARMS3","5","T","o","Grand_Pate","Rodrigues","5To","T_o"
