"","T_1A","T_1B","T_2A","T_2B","T_3A","T_3B"
"2022-03-04",27.5513095238095,27.5807321428571,27.4627797619048,27.4791488095238,27.155130952381,27.1199166666667
"2022-03-05",27.4618392857143,27.4900595238095,27.4420178571429,27.452875,27.0781369047619,27.0432321428571
"2022-03-06",27.3543214285714,27.3829166666667,27.2920833333333,27.3026130952381,26.9829702380952,26.9494107142857
"2022-03-07",27.3182619047619,27.3464285714286,27.2190773809524,27.2273035714286,26.8342202380952,26.8005476190476
"2022-03-08",27.2660773809524,27.294244047619,27.0825833333333,27.089755952381,26.6054047619048,26.5739583333333
"2022-03-09",27.1136428571429,27.1398988095238,26.9087142857143,26.9170416666667,26.4437797619048,26.4166428571429
"2022-03-10",26.9079285714286,26.933744047619,26.6990297619048,26.7129702380952,26.1897738095238,26.157755952381
"2022-03-11",26.7449107142857,26.7648988095238,26.5334285714286,26.5470773809524,25.9601726190476,25.9325952380952
"2022-03-12",26.5724107142857,26.5912261904762,26.391875,26.4120654761905,25.878125,25.8457797619048
"2022-03-13",26.3325952380952,26.3513869047619,26.3110416666667,26.3274285714286,25.8145773809524,25.7802023809524
"2022-03-14",25.9401666666667,25.9606369047619,26.0653154761905,26.0828214285714,25.7512380952381,25.7188630952381
"2022-03-15",25.8445833333333,25.8660476190476,25.9452857142857,25.9625238095238,25.6342916666667,25.5961726190476
"2022-03-16",25.8935238095238,25.9170595238095,26.0173630952381,26.034005952381,25.5210416666667,25.4816130952381
"2022-03-17",26.0976666666667,26.1215238095238,26.172119047619,26.1854880952381,25.5944880952381,25.5599523809524
"2022-03-18",26.287125,26.3189107142857,26.3506011904762,26.3634107142857,25.7419821428571,25.7033214285714
"2022-03-19",26.4484642857143,26.4759345238095,26.474619047619,26.4814047619048,25.8264404761905,25.7844523809524
"2022-03-20",26.5550714285714,26.5786785714286,26.5260119047619,26.537625,25.932125,25.8920119047619
"2022-03-21",26.7944107142857,26.8184107142857,26.6706607142857,26.681,26.0163452380952,25.9809047619048
"2022-03-22",26.7699166666667,26.7899880952381,26.7968154761905,26.8078988095238,26.2080416666667,26.1760595238095
"2022-03-23",26.6561607142857,26.6619464285714,26.7441488095238,26.7558273809524,26.3835952380952,26.357380952381
"2022-03-24",26.4893988095238,26.4957261904762,26.5651666666667,26.572744047619,26.1615178571429,26.1305595238095
"2022-03-25",26.5000892857143,26.5040297619048,26.4743928571429,26.4779107142857,25.7734464285714,25.7486547619048
"2022-03-26",26.6307857142857,26.6425773809524,26.5197023809524,26.5229761904762,25.7183154761905,25.6969642857143
"2022-03-27",26.8698035714286,26.8847976190476,26.5807202380952,26.5800833333333,25.6615654761905,25.6390714285714
"2022-03-28",27.0493571428571,27.0644821428571,26.764630952381,26.7667678571429,25.684244047619,25.6546369047619
"2022-03-29",27.0847261904762,27.1013035714286,26.7802380952381,26.7826607142857,25.6959464285714,25.6667380952381
"2022-03-30",27.0615357142857,27.0920773809524,26.8957738095238,26.8977916666667,25.5733630952381,25.5392738095238
"2022-03-31",27.0111369047619,27.0429761904762,26.9527976190476,26.9584880952381,25.6211071428571,25.5894821428571
"2022-04-01",26.9309702380952,26.9568511904762,26.948119047619,26.9572797619048,25.8268869047619,25.7959404761905
"2022-04-02",26.7280773809524,26.7539285714286,26.6887261904762,26.6980476190476,25.7585357142857,25.7244642857143
"2022-04-03",26.6259880952381,26.6506428571429,26.5417083333333,26.5496904761905,25.6178214285714,25.5879345238095
"2022-04-04",26.5287738095238,26.547,26.2980535714286,26.3075654761905,25.4749226190476,25.4470714285714
"2022-04-05",26.4991904761905,26.5174047619048,26.0769285714286,26.0832083333333,25.3359404761905,25.3081130952381
"2022-04-06",26.6744642857143,26.692369047619,25.9034880952381,25.9131964285714,25.1403392857143,25.1155476190476
"2022-04-07",26.8580297619048,26.8756547619048,25.9040476190476,25.9162202380952,25.0655059523809,25.0436011904762
"2022-04-08",26.8799821428571,26.9042738095238,25.7729464285714,25.7872916666667,25.0988928571429,25.0761071428571
"2022-04-09",26.9807797619048,27.0028988095238,25.865619047619,25.8763928571429,24.9643630952381,24.9470833333333
"2022-04-10",26.9803154761905,27.0047619047619,25.8995654761905,25.911494047619,24.8769345238095,24.8572142857143
"2022-04-11",26.9460357142857,26.9747083333333,25.9848452380952,25.9934583333333,24.9165535714286,24.8977023809524
"2022-04-12",26.966880952381,26.9975952380952,26.0030952380952,26.0090952380952,24.9490595238095,24.9338095238095
"2022-04-13",26.84275,26.871875,25.9950535714286,25.9970357142857,25.1999107142857,25.1792678571429
"2022-04-14",26.7777619047619,26.8073392857143,26.026255952381,26.0260654761905,25.4663869047619,25.4410773809524
"2022-04-15",26.6570952380952,26.686244047619,26.0774761904762,26.0705119047619,25.5110773809524,25.4774761904762
"2022-04-16",26.669369047619,26.7021488095238,26.121255952381,26.1132202380952,25.6492916666667,25.6120357142857
"2022-04-17",26.7780297619048,26.8090654761905,26.216380952381,26.2097916666667,25.7405297619048,25.6964821428571
"2022-04-18",26.8972738095238,26.9292023809524,26.2834285714286,26.2762619047619,25.8923273809524,25.8441845238095
"2022-04-19",26.9968392857143,27.0255833333333,26.4631726190476,26.455,25.9529821428571,25.901369047619
"2022-04-20",27.143875,27.1736607142857,26.6173452380952,26.608,25.8511130952381,25.7941666666667
"2022-04-21",27.2158571428571,27.244625,26.801875,26.7964821428571,25.9478571428571,25.8931904761905
"2022-04-22",27.4040952380952,27.43375,26.9836785714286,26.985630952381,26.2115,26.1668333333333
